Playlist ID                                                         | Trade | Year  | Module  | Title                                                | Description                                                                                                                                                                               | Youtube video link| Google Forms
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 12 Industrial Quality Standards                      | A professional overview of global quality management systems, inspection standards, and quality control protocols essential for industrial manufacturing and engineering.                 | SPZVTt7FEtc?si=VKHMeNEYg-mDqM0S|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 13 Precision Flat Lapping                            | A professional technical guide to the principles, abrasive compounds, and surface finishing techniques used in precision flat lapping operations.                                         | HpS8c-OsKJo?si=qMnJNf0L7o1-Klgt|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 14 Precision Lapping of External                     | A professional technical guide to the methods, tools, and abrasive techniques required for high-accuracy precision lapping on external cylindrical and flat surfaces.                     | Yms12cxm13I?si=1YjAIHk51jwX6k7k|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 15 Surface Texture and Measurement                   | A professional engineering guide to understanding surface roughness parameters, texture characteristics, and precision measurement instruments used in quality control.                   | S5x8rjdXGvg?si=B_NUFzi0ZHo7zpUI|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 16 Practice of Precision Honing                      | A professional technical guide to the operational methods, abrasive stones, and surface finishing techniques used in precision honing practices for high-accuracy bores.                  | ndrPOaFDn70?si=C6voJAFCHe9t4dSU|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 17 Frosting and Flaking Techniques                   | A professional technical guide to the manual scraping, frosting, and flaking techniques used to create oil-retaining textures on precision machine way surfaces.                          | s-jeXPROJSk?si=pwi8kzq9PeXuNi2J|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 18 Heat Treatment                                    | A professional engineering guide to the metallurgic principles, heating cycles, and cooling processes used in industrial heat treatment of steels.                                        | E_Z1bq1hI2w?si=UZO_kgAKRnJX_ajM|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 19 Surface Hardening Steel                           | A professional engineering guide to the chemical and thermal surface hardening methods used to increase the wear resistance of steel components.                                          | U0h9546z3yc?si=T7GcaDql17ejKi1e|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 20 Tapers, Keys, and Cotters                         | A professional engineering guide to the design standards, structural functions, and practical applications of tapers, keys, and cotter joints in mechanical assemblies.                   | LCy4lFesw4w?si=cF6-LOXhk9Lb4fcp|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 21 Metal Surface Protection and Corrosion            | A professional engineering guide to understanding the causes of metal corrosion and the commercial coating methods used for effective surface protection.                                 | d4AaZ_IME9M?si=S8HyCpePwu7ZDlYm|
playlist?list=PL82K0I4-0q_xaUEXUtPPq-XwTZv9TP2lz&si=uXxercncaA6x8H_O| FITTER| Year 2| Module 2| 1 Gauging and Assembly Systems                       | A professional engineering guide to the precision gauging instruments, tolerance limits, and standardized inspection systems used in mechanical assembly.                                 | D-Ab8WuOrww?si=Z0IXzgIWov7k8qha|
playlist?list=PL82K0I4-0q_xaUEXUtPPq-XwTZv9TP2lz&si=uXxercncaA6x8H_O| FITTER| Year 2| Module 2| 2 Bearings                                           | A professional engineering guide to the classification, structural design, and industrial applications of friction and anti-friction bearings.                                            | mhavXanKS9Q?si=gTr1ak_5MHXTk9pB|
playlist?list=PL82K0I4-0q_xaUEXUtPPq-XwTZv9TP2lz&si=uXxercncaA6x8H_O| FITTER| Year 2| Module 2| 3 Roller and needle bearing                          | A professional engineering guide to the design principles, load-carrying capacities, and industrial applications of cylindrical roller and high-density needle bearings.                  | OiQUI4uPZNM?si=kQvK1wedYFsm-4Cr|
playlist?list=PL82K0I4-0q_xaUEXUtPPq-XwTZv9TP2lz&si=uXxercncaA6x8H_O| FITTER| Year 2| Module 2| 4 Bearing Materials                                  | A professional material science guide to the properties, composition, and selection criteria of metallic and non-metallic bearing alloys used in mechanical engineering.                  | gOzxiOlYTo4?si=KP6WgSe1e_5OfP4g|
playlist?list=PL82K0I4-0q_xaUEXUtPPq-XwTZv9TP2lz&si=uXxercncaA6x8H_O| FITTER| Year 2| Module 2| 5 Metallic Coating and Corrosion Prevention          | A professional engineering guide to the industrial metallic coating processes and electroplating techniques used for advanced corrosion prevention in mechanical components.              | LND9ZP23Ges?si=Zoq5HR2szild3u83|
playlist?list=PL82K0I4-0q_wKNkb0ewTRHMCG0d4VgdHQ&si=Ub4hgSrTmPUP7SsK| FITTER| Year 2| Module 3| 1 Pipes and Pipe Fittings                            | A professional engineering guide to the classification, material selection, and structural applications of industrial pipes and standard fittings.                                        | Ad6rff1Z8_Y?si=-9TrK0bQNHnZIaux|
playlist?list=PL82K0I4-0q_wKNkb0ewTRHMCG0d4VgdHQ&si=Ub4hgSrTmPUP7SsK| FITTER| Year 2| Module 3| 2 Pipe Vices and Cutting Tools                       | A professional technical guide to the correct selection, setup, and safe operation of pipe vices and heavy-duty cutting tools in industrial piping work.                                  | vneBvhWvFwA?si=EyM0fi7GwW40XWS3|
playlist?list=PL82K0I4-0q_wKNkb0ewTRHMCG0d4VgdHQ&si=Ub4hgSrTmPUP7SsK| FITTER| Year 2| Module 3| 3 Plumbing Essentials                                | A professional technical guide to the essential tools, layout planning, and jointing techniques required for standard plumbing installations in the Fitter trade.                         | FQv2XFQs32w?si=glckxXZ52muo0FLa|
playlist?list=PL82K0I4-0q_wKNkb0ewTRHMCG0d4VgdHQ&si=Ub4hgSrTmPUP7SsK| FITTER| Year 2| Module 3| 4 Standard Pipe Fitting                              | A professional technical guide to the standardized types, dimensions, and assembly methods of pipe fittings used in industrial piping and fluid systems.                                  | CGC-lOgYeHs?si=5Oy63-_CtRBkjfra|
playlist?list=PL82K0I4-0q_wKNkb0ewTRHMCG0d4VgdHQ&si=Ub4hgSrTmPUP7SsK| FITTER| Year 2| Module 3| 5 Tap Maintenance                                    | A professional technical guide to the correct maintenance, sharpening protocols, and safe operation of hand and machine taps in workshop threads.                                         | 1w7YBQycqQY?si=BNMkJFzfJ4oKzyt2|
playlist?list=PL82K0I4-0q_xODiTfW9zp37iqWbuxumCR&si=lPWIDwVpJaUmBB2Y| FITTER| Year 2| Module 4| 1 Guide to Drill Jigs                                | A professional engineering guide to the design principles, clamping mechanisms, and production applications of drill jigs in precision manufacturing.                                     | JE7hCBMGFKc?si=-bZeUVBffvsbvnRA|
playlist?list=PL82K0I4-0q_xODiTfW9zp37iqWbuxumCR&si=lPWIDwVpJaUmBB2Y| FITTER| Year 2| Module 4| 2 Fundamentals of Fixtures and Jigs                  | A professional engineering guide to the foundational principles of workpiece location, clamping design, and structural differences between jigs and fixtures in production manufacturing. | Es9JCNhpaXQ?si=k0MFVdw0WggBjsql|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 1 Non Ferrous Metal                                  | A professional metallurgy guide to the properties, industrial grade classifications, and mechanical engineering applications of common non-ferrous metals and alloys.                     | fuMhvn8ZeEM?si=NQzpR93jRXIrzBj_|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 2 Power Transmission Belts                           | A professional engineering guide to the material specifications, tracking adjustments, and application criteria of flat and synchronous belts in industrial power transmission.           | Vyb5Mgpifkc?si=a_HyNpc4RBh0hia7|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 3 V Belt Mechanics                                   | A professional engineering guide to the tension calculations, wedge action mechanics, and maintenance protocols of industrial V-belt drives.                                              | _ibmBULf4rk?si=npV80ibNcI7-28ZV|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 4 Mechanical Shaft Coupling                          | A professional engineering guide to the functional types, alignment protocols, and torque-transmission applications of rigid and flexible mechanical shaft couplings.                     | dFkoWPkdnw0?si=iySdBcT8exPFG0Qy|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 5 Pulley and Clutches                                | A professional engineering guide to the operational mechanics, structural types, and industrial applications of pulleys and clutches in power transmission systems.                       | mwgwCWao21I?si=v1vsbeECH_tLAJhD|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 6 Power Transmission                                 | A professional engineering guide to the mechanisms, mechanical efficiency, and industrial applications of belts, chains, shafts, and gear drives in power transmission.                   | NJPheLoEWLA?si=naTB_umP82Dzj_xE|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 7 Proportions of Spur Gear                           | A professional engineering guide to the geometric formulas, module calculations, and tooth proportions required for precise spur gear design and manufacturing.                           | 2LU0GtqwaWY?si=YBa0UHNUXa4mk4cC|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 8 Gear Classification and Repair Techniques          | A professional engineering guide to the functional classification of industrial gears and the technical methods used for tooth profile repair and maintenance.                            | 51aweKPKmeA?si=CECxlZbXK-35jkea|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 9 Gear Assembly                                      | A professional engineering guide to the alignment protocols, backlash verification, and mounting methods used in industrial gear assembly systems.                                        | HF3hjM3GXIc?si=La96MP3AA3cCUwhS|
playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| FITTER| Year 2| Module 5| 10 Pneumatics and Hydraulics                         | A professional engineering guide to the working principles, component functions, and fluid power system controls used in industrial pneumatics and hydraulics.                            | NKsCMzvCRtc?si=kILkBNxLr2UYJPjm|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 1 Air Compressor                                     | A professional engineering guide to the working principles, structural configurations, and operational maintenance of industrial air compressors.                                         | dFJ2tNARbzo?si=Wget3Ukg8ZikBEMR|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 2 Pneumatic System                                   | A professional engineering guide to the layout design, compressed air generation, and operational control elements of industrial pneumatic systems.                                       | VZsj7Y_WBFY?si=5SgyJtfuf86kDxdN|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 3 Pneumatic Actuators                                | A professional engineering guide to the functional mechanisms, selection criteria, and linear or rotary force conversion applications of industrial pneumatic actuators.                  | T2-XOlOXR4Y?si=Qm8-3kMSFtSD4miJ|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 4 Single Acting Cylinder                             | A professional engineering guide to the structural design, spring-return mechanisms, and single-port fluid dynamics of pneumatic and hydraulic single-acting cylinders.                   | MnFId17B0ic?si=kmps_wZQRAHD0mP7|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 5 Double Acting Cylinder                             | A professional engineering guide to the structural design, port configurations, and dual-stroke fluid dynamics of pneumatic and hydraulic double-acting cylinders.                        | sWicB_t7RXc?si=WjrFa6bNuHA7tF7q|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 6 Pneumatic Directional Control Valves               | A professional engineering guide to the spool design, port configurations, and actuation methods of directional control valves in pneumatic automation circuits.                          | Xw294K59sik?si=vcIkWA-tU9GWbcsC|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 7 ISO 1219 Pneumatic Symbols                         | A professional engineering guide to interpreting and drafting standard fluid power circuit schematics using ISO 1219 pneumatic symbolic notation.                                         | k8cii9qMhrA?si=Tiu0EypRYtS0umxG|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 8 Non Return Valves                                  | A professional engineering guide to the operational mechanisms, pressure thresholds, and installation protocols of non-return and check valves in industrial fluid systems.               | 7uw69-v9gKM?si=tB8-xfN_M6B66deZ|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 9 Hydraulic Flow Control Valves                      | A professional engineering guide to the design, needle and pressure-compensated mechanisms, and precise velocity-regulation applications of hydraulic flow control valves.                | Mt0H9jdnnRY?si=2-liLuG7-f0ivuvb|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 10 Pneumatic and Hydraulic Control Valves            | A professional engineering guide to the operational mechanisms, circuit configurations, and functional selection of pressure, flow, and directional control valves in fluid power systems.| bVvyezxJISA?si=fDGn0Bm-6GVgHXNP|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 11 Electro Pneumatic Control Systems                 | A professional engineering guide to the integration of electrical control circuits, solenoids, and relays with pneumatic systems for automated industrial sequencing.                     | 4SJR5gi0xSo?si=ZLI12uEbaE57PL7g|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 12 Hydraulic and Pneumatic Systems                   | A professional engineering guide to the layout design, structural components, and distinct operational advantages of hydraulic and pneumatic automation networks.                         | yWOzDr-TBDc?si=MhMhxtHSu55VEkVT|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 13 Hydraulic Filtration Systems and Safety Protocols | A professional engineering guide to fluid contamination control, filter selection criteria, and mandatory safety protocols for high-pressure hydraulic maintenance.                       | tWDxtA2aK0w?si=ykRksmezFzOUbbO2|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 14 Hydraulic Pumps and Reservoirs                    | A professional engineering guide to the operational mechanisms, performance metrics, and maintenance protocols of hydraulic pumps and fluid conditioning reservoirs.                      | mbkD5TqN7Eo?si=RvPlj82Vdxrokc8r|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 15 Pilot Operated Pressure Relief Valves             | A professional engineering guide to the structural design, pilot circuit mechanics, and pressure-regulation applications of pilot-operated relief valves in high-flow systems.            | XdB37cdWBM0?si=JFwwroA7SpEkSEC3|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 16 Hydraulic Fluid Transmission                      | A professional engineering guide to the properties, selection criteria, and contamination control protocols of fluids used for power transmission in hydraulic systems.                   | ZWBMP36a2c0?si=Z2K21IZDUUgt1YXz|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 17 Hydraulic Actuators and Directional Control Valves| A professional engineering guide to the working mechanisms, circuit configurations, and operational control of hydraulic cylinders, motors, and directional control valves.               | sgjfYXBh2AA?si=r8xPJ7-XkUNj9oIh|
playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 18 Hydraulic and Pneumatic Flow Control              | A professional engineering guide to the operational principles, valve configurations, and circuit regulation techniques used for precise flow control in fluid power systems.             | OT_ZnbLiNK4?si=GGMGQkwX6PVxThFX|
playlist?list=PL82K0I4-0q_yGsHqraFi31Z2ZHLYLOfeh&si=Oj6DW2UbErcnfjB-| FITTER| Year 2| Module 7| 1 Preventive Maintenance                             | A professional engineering guide to scheduled machine inspections, routine equipment servicing, and systematic failure-prevention protocols for industrial machinery.                     | V5giIDsAcI4?si=k6rEyX219E7M3y5r|
playlist?list=PL82K0I4-0q_yGsHqraFi31Z2ZHLYLOfeh&si=Oj6DW2UbErcnfjB-| FITTER| Year 2| Module 7| 2 Industrial Lubrication                             | A professional engineering guide to fluid and solid lubricant classification, viscosity selection criteria, and standard machinery lubrication schedules.                                 | -gunGB8Obxw?si=dbE7GZCr15K_8D2n|
playlist?list=PL82K0I4-0q_yGsHqraFi31Z2ZHLYLOfeh&si=Oj6DW2UbErcnfjB-| FITTER| Year 2| Module 7| 3 Manual for Cutting Fluids                          | A professional engineering guide to the selection criteria, application methods, and cooling properties of cutting fluids in mechanical machining operations.                             | ntCrmpsiLTc?si=c4JuHNQsD6JgStzr|
playlist?list=PL82K0I4-0q_yGsHqraFi31Z2ZHLYLOfeh&si=Oj6DW2UbErcnfjB-| FITTER| Year 2| Module 7| 4 Lubrication and Preventive Maintenance             | A professional engineering guide to industrial lubricant selection, application techniques, and scheduled preventive maintenance protocols for mechanical systems.                        | ndyoK4Hsh7o?si=eppzmR40tXvfTOqg|
playlist?list=PL82K0I4-0q_yGsHqraFi31Z2ZHLYLOfeh&si=Oj6DW2UbErcnfjB-| FITTER| Year 2| Module 7| 5 Metallizing and Powder Coating                     | A professional engineering guide to surface preparation techniques, thermal spray metallizing processes, and electrostatic powder coating applications in industrial corrosion prevention.| 32GynOpaan0?si=ngbiYfg-C_N6s1Cs|
playlist?list=PL82K0I4-0q_zsNZF8Jun6op8pajeA1N-S&si=dO7ApSmr2ykl0ieh| FITTER| Year 2| Module 8| 1 Machine Foundation, Installation                   | Machine Foundation and Installation in Fitter Trade: Accurate setup, alignment, and secure installation of industrial machinery for efficient operation.                                  | sZ-q_ATj0hs?si=T0nZ3Yd-qSXfe6Fe|
playlist?list=PL82K0I4-0q_zsNZF8Jun6op8pajeA1N-S&si=dO7ApSmr2ykl0ieh| FITTER| Year 2| Module 8| 2 Rigging, Hoisting                                  | Rigging and Hoisting in Fitter Trade: Safe handling, lifting, and movement of heavy materials using proper tools and techniques.                                                          | CT2fyYVWDcw?si=vKCKqVuAFaHL3xyJ|
playlist?list=PL82K0I4-0q_zsNZF8Jun6op8pajeA1N-S&si=dO7ApSmr2ykl0ieh| FITTER| Year 2| Module 8| 3 Fitter Rigging and Slinging Equipment              | A professional engineering guide to load rating calculations, material selection, and safe inspection protocols for industrial rigging hardware and slinging equipment.                   | 4vc9bV6zffc?si=-wAB9HJUdFBnRodW|
playlist?list=PL82K0I4-0q_zsNZF8Jun6op8pajeA1N-S&si=dO7ApSmr2ykl0ieh| FITTER| Year 2| Module 8| 4 Lifters, Stackers, and Cranes                      | A professional engineering guide to the load capacities, safe operational mechanisms, and rigid inspection standards for industrial lifters, material stackers, and heavy-duty cranes.    | k7GkC6f-3aA?si=oP2j3czDBE7nOZYh|
